disease_name,species,symptoms,causes,home_care,vet_urgent
Feline Panleukopenia,猫,"突发高烧,呕吐,腹泻（可能带血）,脱水,精神极度沉郁,食欲废绝",猫细小病毒（FPV）感染，主要通过接触感染猫的粪便、尿液、唾液或污染物传播,严格隔离病猫，防止传染其他猫；提供安静温暖环境；尝试少量多次喂水防止脱水（但呕吐严重时需谨慎）；保持环境清洁消毒。注意：家庭护理无法替代专业治疗。,是
Feline Calicivirus,猫,"口腔溃疡,流口水,打喷嚏,鼻分泌物,结膜炎,发烧,食欲不振,跛行",高度传染性的病毒性疾病，通过直接接触感染猫或污染环境传播,隔离病猫，保持环境清洁，提供柔软易咀嚼的食物，确保充足饮水，避免应激,是
Feline Herpesvirus,猫,"打喷嚏,流鼻涕,结膜炎,眼部分泌物,角膜溃疡,食欲不振,发烧,精神萎靡",疱疹病毒Ⅰ型感染（接触病猫分泌物或污染物传播）,"保持环境温暖湿润（使用加湿器）,清洁眼鼻分泌物,提供高营养流质食物,确保充足饮水,避免应激",是
Feline Leukemia Virus,猫,"贫血,免疫力低下,体重减轻,反复感染,肿瘤",猫白血病病毒感染,"隔离病猫防止传播,提供高营养易消化食物,保持环境清洁减少应激,定期消毒用品",是
Feline Immunodeficiency Virus,猫,"发烧,淋巴结肿大,食欲不振,体重下降,反复感染（皮肤、泌尿系统等）,口腔炎,牙龈炎,嗜睡",主要通过感染猫的唾液经咬伤传播（如打架），也可通过胎盘或乳汁从母猫传染给小猫,提供营养均衡的高质量食物，保持室内饲养避免外出和接触其他猫以减少感染风险，定期驱虫，保持环境清洁低压力，避免使用免疫抑制药物，定期进行兽医检查监测健康状况,是
Feline Lower Urinary Tract Disease,猫,"排尿困难,尿频,尿痛,血尿,尿闭,在猫砂盆外排尿,过度舔舐生殖器,精神沉郁","特发性膀胱炎（最常见原因）,膀胱结石或结晶,细菌感染,尿道阻塞（常见于公猫）,膀胱肿瘤,先天性解剖异常","确保饮水充足（尝试流动饮水器）,保持猫砂盆清洁（每日清理）,减少环境压力（提供安静空间）,遵医嘱喂食处方粮（若有）,监测排尿情况",是
Feline Infectious Peritonitis,猫,"腹部肿胀（腹水）, 胸腔肿胀（胸水）, 发烧, 食欲不振, 体重减轻, 精神萎靡, 黄疸, 呼吸困难, 眼睛炎症（葡萄膜炎）",由猫冠状病毒（Feline Coronavirus）突变引起，导致免疫系统异常反应和血管炎症。,无法治愈，家庭护理以支持性为主：提供舒适安静的环境，确保食物和水易获取，监测体温、呼吸和精神状态变化。避免使用非兽医处方的药物。,是
Chronic Kidney Disease,猫,"多饮多尿,食欲不振,体重下降,呕吐,脱水,口腔溃疡,精神萎靡",肾脏功能进行性丧失，常见于老龄猫，可能与遗传、高血压、肾结石或感染有关,提供充足清洁饮水，改用肾病处方粮，定期复诊监测指标，严格按医嘱给药，减少环境应激,是
Hyperthyroidism,猫,"体重下降,食欲增加,多饮多尿,呕吐腹泻,烦躁不安,毛发粗糙,心跳过快",甲状腺良性肿瘤（腺瘤）导致甲状腺激素分泌过多,严格按医嘱给药，定期复诊；提供高热量易消化食物；保持环境安静减少压力；监测饮水量、食欲及体重变化,是
Diabetes Mellitus,猫,"多饮,多尿,体重下降,食欲增加,后肢无力",胰腺β细胞功能障碍导致胰岛素分泌不足或身体对胰岛素产生抵抗。常见风险因素包括肥胖、年龄（中老年猫）、使用某些药物（如类固醇）、其他内分泌疾病（如库欣综合征）等。,严格按兽医指示给予胰岛素（若需要）和口服药物；提供兽医推荐的高蛋白、低碳水化合物处方粮；维持规律喂食时间和运动；密切监测饮水量、排尿量、食欲和体重变化；定期使用家用血糖仪监测血糖（若兽医指导）。,是
Asthma,猫,"喘息,咳嗽（类似干呕）,呼吸困难,呼吸急促,张口呼吸,运动不耐受",主要由吸入过敏原（如花粉、灰尘、烟雾、香水、猫砂粉尘等）引发的气道炎症反应,"避免接触过敏原（如使用低尘猫砂、保持环境清洁无烟）,减少环境压力,严格遵医嘱用药",是
Dental Disease,猫,"口臭,牙齿变色（黄褐色或棕色）,牙龈红肿或出血,流涎,食欲下降或拒食,咀嚼困难或用一侧咀嚼,牙齿松动或脱落,面部肿胀",牙菌斑和牙结石的积聚是最主要原因，通常由口腔细菌、饮食不当、口腔卫生不良、遗传易感性等因素引起。,定期使用宠物专用牙刷和牙膏给猫刷牙（需循序渐进训练），提供洁牙玩具或特殊设计的洁牙粮，使用兽医推荐的漱口水（非必需），注意观察口腔情况并定期检查。,是
Fleas and Flea Allergy Dermatitis,猫,"过度舔舐,抓挠,皮肤瘙痒,可见小黑点（跳蚤粪便）,皮肤炎症,脱毛,皮肤破损,结痂",跳蚤叮咬，以及对跳蚤唾液过敏（跳蚤过敏性皮炎）,使用兽医推荐的驱虫药定期驱虫，彻底清洁环境（吸尘、清洗寝具），防止猫过度舔舐抓挠（可使用伊丽莎白圈），定期梳理毛发检查跳蚤,是
